Image_ID,Questions,Answers
0,দণ্ড সহ সরঞ্জামগুলিকে কীভাবে বলা হয়?,বানর বার
1,মহিলা কি করছে?,বসা
1,ওটা কি ঠাকুরমার পোষা ইঁদুর?,না
2,কেউ কি সোফায় বসে আছে?,না
2,ছেলেটা কোথায় দাঁড়িয়ে আছে?,মল
3,দুটি চিত্রের মধ্যে কোনটিতে সবুজ আছে?,ঠিক
3,বিড়ালের রং কি?,সাদা
4,পাখি কি উড়ছে?,হ্যাঁ
5,লোকেরা কি হাঁসকে অনুসরণ করছে?,না
5,ছোট মেয়েটি কি মহিলার চেয়ে এগিয়ে?,হ্যাঁ
6,সে কি খেলছে?,বানর বার
6,গাছটি কি টর্নেডোতে আছে?,না
7,ছবিতে কোন প্রাণী আছে?,কুকুর
7,কুকুরের রং কি?,বাদামী
8,মেয়েটি কি খুশি?,না
8,খাবার কোথায়?,মল
8,আপনি কি সাধারণত ডাইনিং রুমে পিকনিকের ঝুড়ি খুঁজে পান?,না
9,এখানে কয়টি ঝোপ আছে?,দুই
9,কুকুর বসে আছে?,না
10,শেল্ফে কয়টি বই আছে?,দুই
10,কত বই লাল?,দুই
11,ছেলেটি কি হরিণের নিচে মাড়িয়ে যেতে চলেছে?,না
11,ছেলে এবং হরিণ কি একই দিকে মুখ করছে?,না
13,লিলি প্যাড কয়টি?,চার
14,এটা কি মনে হচ্ছে এই লোকেরা একে অপরকে চেনে?,হ্যাঁ
14,মহিলারা কি বাচ্চাদের সাথে খেলার তারিখের পরিকল্পনা করেছিলেন?,হ্যাঁ
15,দেয়ালে কি কোন পেইন্টিং আছে?,হ্যাঁ
15,মেয়েটি কি মজার কিছু ভেবেছিল?,হ্যাঁ
16,লোকটি কি বৃদ্ধ?,হ্যাঁ
16,স্লাইডের সিঁড়িতে কয়টি দন্ড আছে?,পাঁচ
17,ঘাসের রং কি?,সবুজ
17,সিসা কিসের জন্য ব্যবহৃত হয়?,বাজানো
18,সবাই কি খুশি?,হ্যাঁ
18,কতজন প্রাপ্তবয়স্ক?,দুই
19,সে কি নিজেকে উপভোগ করছে?,হ্যাঁ
19,কুকুরেরও কি খাবার আছে?,না
20,মহিলা কি করছেন?,বসা
20,ছেলেটির পা কি বাতাসে আছে?,হ্যাঁ
21,বৃদ্ধের কি পা ভেঙে গেছে?,না
22,বিড়াল কি দৌড়াচ্ছে?,না
22,কয়টি লগ জ্বলছে?,দুই
22,যুবক কি ভয় পাচ্ছে যে বিড়ালটি পুড়ে যাবে?,হ্যাঁ
23,মহিলা কি একা?,হ্যাঁ
24,কি পুর করতে পারে?,বিড়াল
24,শিশু কি খুশি?,হ্যাঁ
25,লোকটি কি পাই খাবে?,হ্যাঁ
25,এখানে কি পুকুর আছে?,হ্যাঁ
26,বাম দিকের ভদ্রমহিলার উপরে প্রজাপতিটির রঙ কী?,নীল
26,এই নারীরা কি শত্রু?,না
27,এটি কি একটি অস্পষ্ট এলাকা?,হ্যাঁ
27,গাছের পাখি কি রেকুন থেকে লুকিয়ে আছে?,না
28,ওই কি উদ্ভিদের বিষ আইভি?,না
28,দরজা কি খোলা?,না
29,টেলিভিশন কোথায়?,টেবিল
29,টেবিলটি কি টিভি রাখার জন্য তৈরি?,না
30,দুটি মেয়ে কি একে অপরের সাথে খেলছে?,হ্যাঁ
31,ছেলেটি কি স্লাইড থেকে বৃদ্ধ থেকে নিচের দিকে স্লাইড করার জন্য?,না
31,কার বল আছে?,ছেলে
31,এটা কি রোদ আছে?,না
32,কতটি ছবি আছে?,দুই
32,ধূসর প্যান্ট পরা লোকটি কি অপরিণত?,না
33,আবহাওয়া কেমন?,রৌদ্রোজ্জ্বল
33,বেঞ্চ কি লগের মতো একই উপাদান দিয়ে তৈরি?,হ্যাঁ
34,কতটি চিত্রকর্ম ঠিক একই রকম?,তিন
34,কি ধরনের পোষা প্রাণী?,বিড়াল
35,টেবিলক্লথে কোন প্রাণী আছে?,কুকুর
36,মেয়েদের জুতার রং কি?,কালো
36,মেয়েটি কি দেখছে?,গাছ
36,এখানে কি স্লাইডিং বোর্ড আছে?,না
37,এখানে কি কেউ আছে?,না
37,কয়টি জানালা?,দুই
38,কত মেয়ে আছে?,এক
39,কচ্ছপরা কি পাখির থেকে বিপদে আছে?,হ্যাঁ
39,কুকুরের রং কি?,সাদা
40,ছবিটি কি সমানভাবে দেয়ালে রাখা আছে?,হ্যাঁ
40,বাচ্চারা কি জরুরীভাবে তাদের বাবাকে কিছু বোঝানোর চেষ্টা করছে?,হ্যাঁ
41,বুড়োটা কিসের উপর বসে আছে?,বেঞ্চ
42,বর্তমানে কি স্কুটার চালানো হচ্ছে?,না
42,মহিলা কি বিয়ের পোশাকে?,না
44,বিড়ালটি কোথায়?,মল
45,লোকেরা কি লগের উপর দিয়ে লাফাচ্ছে?,হ্যাঁ
45,তারা কি তাড়া করছে?,কুকুর
46,পিজ্জার টুকরোগুলো কোথায়?,টেবিল
46,ছবির ফ্রেমে থাকা ব্যক্তিটি কি ঘরে আছে?,না
47,শিশু কি হাঁটছে?,হ্যাঁ
47,বিড়ালের রং কি?,ধূসর
47,কয়টি প্রাণী?,দুই
48,সূর্যের রং কি?,হলুদ
48,কতটি গাছ আছে?,এক
48,বাতাসে কি আছে?,পাখি
49,তারা কি গেমিং সিস্টেম খেলছে?,হ্যাঁ
49,কোন মানুষকে আসলে মনে হচ্ছে তারা কার্পেটে বসে আছে?,মেয়ে
49,একটি পালঙ্ক আছে?,না
50,লগের রং কি?,বাদামী
50,পাখি কি তার নীড়ে উড়ে যাচ্ছে?,হ্যাঁ
51,সে কি পান করছে?,মদ
51,টিভি কি বসে আছে?,টেবিল
52,মহিলা কি সোফায় আছে?,হ্যাঁ
52,সেই গাছটিকে কি জল দেওয়া দরকার?,না
52,লাল বই কয়টি?,এক
53,তারা কি একে অপরের দিকে দোলাচ্ছে?,হ্যাঁ
53,এটা কি রোদ আছে?,হ্যাঁ
53,আপনি কি দূর থেকে একটি বাড়ি দেখতে পাচ্ছেন?,না
54,আপনি কি চাঁদ দেখতে পাচ্ছেন?,হ্যাঁ
54,পত্রহীন গাছের কাছে কি সাদা কুকুর আছে?,হ্যাঁ
55,বয়স্ক দম্পতি কি চুপচাপ আছে?,হ্যাঁ
55,তারা কি একসাথে খুশি?,হ্যাঁ
56,কোন প্রাণী স্থানান্তর করে?,পাখি
57,কে বল মারছে?,মানুষ
57,মাটির রং কি?,সবুজ
57,বাদুড়ের রং কি?,বাদামী
58,ওয়াইন টপের রং কি?,লাল
59,ছেলেটির কি খাবার আছে?,না
59,কতটি বাড়ির গাছপালা আছে?,দুই
60,কয়টি পেইন্টিং?,তিন
60,মহিলা কি অল্পবয়সী?,না
61,তারা কি বড় ডিনার করছে?,হ্যাঁ
61,দেয়ালে কয়টি পেইন্টিং আছে?,চার
61,টেবিলক্লথের রং কি?,সাদা
62,চশমায় কি ধরনের ওয়াইন আছে?,সাদা
62,তারা কি সম্ভবত একে অপরকে চেনে?,হ্যাঁ
63,ছোট মেয়েটি কি বিড়ালের চুল খাচ্ছে?,না
64,এটা কি তার দাদা?,হ্যাঁ
64,তিনি কি বৃদ্ধকে পানি এনে দিচ্ছেন?,হ্যাঁ
65,তারা কি ফুটবল খেলা উপভোগ করছে?,হ্যাঁ
65,আপনি কয়টি বাচ্চা দেখতে পাচ্ছেন?,দুই
65,বাচ্চাদের সাথে কে খেলছে?,মানুষ
66,আপনি কি মনে করেন যে তরুণীটি তার বিড়ালটিকে কোণার ছোট টেবিলে ব্যবচ্ছেদ করতে যাচ্ছে?,না
67,মহিলা শেলফে কি রাখছেন?,বই
67,দুই জানালার কাছে সোফায় কয়টি বালিশ আছে?,চার
67,রুমে কি কফি টেবিল আছে?,না
68,কত গাছ আছে?,দুই
68,শিশুটি কিসের থেকে ঝুলছে?,বানর বার
68,এটা কি দিবালোক?,হ্যাঁ
69,ছেলেটি কি চলে যাচ্ছে?,না
69,রুমে কি প্রতিটি প্রাণীর বিশ্রামের জায়গা আছে?,হ্যাঁ
70,কতজন মানুষ?,দুই
71,আগুন কি মহিলার কাছে যাবে?,হ্যাঁ
71,আগুন কি গর্তে?,না
72,ছেলেটার কি আছে?,হাড়
72,কুকুরের রং কি?,হলুদ
73,শিশু কি খেলছে?,হ্যাঁ
74,তারা কোন খেলা খেলছে?,সকার
74,কতটি গাছ?,এক
74,লোকের প্যান্টের রং কি?,কালো
75,মহিলা কি আরামদায়ক?,হ্যাঁ
76,কতটি গাছ?,তিন
77,পার্কে কয়টি কুকুরছানা আছে?,দুই
77,পিকনিক কম্বলে কত ধরনের ফল আছে?,তিন
78,দরজা কি বন্ধ?,হ্যাঁ
78,জানালা কি দরজার কাছে?,হ্যাঁ
79,কত খাদ্য সামগ্রী আছে?,চার
79,লোকের চোখে সূর্য কি গ্রিল করছে?,না
79,কে পাই ধরছে?,ছেলে
80,মহিলা কি জলে মাছ ধরার পরিকল্পনা করছেন?,না
81,মেয়েটি কি সোফায় একটি গাছের কাছে বসে আছে?,হ্যাঁ
81,শিশু কি মনোযোগ চায়?,হ্যাঁ
81,তারা কি একটি বই নিয়ে আলোচনা করছে?,হ্যাঁ
82,টেবিলে কি খাবার আছে?,পাই
82,পাই কোথায়?,টেবিল
82,টেবিলের চারপাশে কয়টি চেয়ার দৃশ্যমান?,এক
83,লোকটি কি তার কুকুরকে হাঁটছে?,হ্যাঁ
84,ছোট মেয়েটি কি বিড়ালছানার সাথে খেলছে?,হ্যাঁ
84,পর্দা কি খোলা আছে?,হ্যাঁ
85,মহিলা কি মজা করছে?,হ্যাঁ
85,কতটি বাইক আছে?,এক
85,মহিলা কি স্লাইডের জন্য বুড়ো হয়ে গেছে?,হ্যাঁ
86,লোকেরা কি হাসছে?,হ্যাঁ
87,বিড়ালটি কি ছেলেটির দিকে মুখ করছে?,না
88,কত জনের চুল পাকা হয়?,এক
89,সিটগুলো কোথায়?,লগ
89,তারা কি খাচ্ছে?,পাই
91,টেবিলে কি এক বোতল ওয়াইন বসে আছে?,হ্যাঁ
91,মেয়েটি কি চাপে আছে?,হ্যাঁ
92,বইটির লেবেলটি কী রঙের?,সাদা
92,লোকটি কি ধরে আছে?,বই
93,মানুষটির কয়টি পোষা প্রাণী আছে?,এক
93,ওর স্ত্রীর ছবি কি?,হ্যাঁ
93,গাছটির রঙ কি?,সবুজ
94,দেয়ালে কয়টি প্রতিকৃতি আছে?,এক
94,কুকুরের রং কি?,হলুদ
95,ছেলেটি কোন হাত ছুঁড়ছে?,ঠিক
95,তারা কোন খেলা খেলছে?,বেসবল
96,ঘাসে কয়টি ঝোপ আছে?,চার
96,একটি বিশাল সমুদ্র সৈকত বল কি বাতাসে নিক্ষেপ করা হচ্ছে?,না
97,তারা কি একে অপরের দিকে তাকিয়ে আছে?,হ্যাঁ
97,তারা কি হোমওয়ার্ক করছে?,হ্যাঁ
97,দরজাটা কি খোলা আছে?,হ্যাঁ
98,ডানদিকে কয়টি হলুদ ফুল আছে?,তিন
98,মেয়েটি কি ফুলটি গ্রহণ করবে?,হ্যাঁ
99,ছোট মেয়েটি কি খুশি?,হ্যাঁ
100,কি মনে হচ্ছে কুকুরটি পুরস্কারের আশা করছে?,হ্যাঁ
100,ছোট কুকুরটি কি বেঞ্চে লাফানোর চেষ্টা করছে?,হ্যাঁ
101,ব্যক্তি কি শুয়ে আছে?,হ্যাঁ
101,তার প্যান্টের রং কি?,লাল
102,বৃদ্ধা কি তাকে গল্প বলছে?,হ্যাঁ
102,মেঝেতে কি আছে?,বিড়াল
103,কুকুরটি কি সম্ভবত এই বলটি তার মুখে ধরতে পারে?,না
103,পুকুর থেকে কি গুল্ম বাড়ছে?,না
103,ছেলে মেয়ে পার্কে কোন খেলা খেলছে?,ফুটবল
104,এগুলো কয়টি মাশরুম?,দুই
105,সোফায় সাদা প্রাণী কি?,বিড়াল
105,কতজন মানুষ সোফায় বসে আছে?,এক
106,নারীর পিছনে কি আছে?,লগ
106,ছেলেটি কি হাঁটছে?,হ্যাঁ
106,মহিলাকে কি পুড়িয়ে ফেলা হচ্ছে?,না
107,মহিলা কি ছোট মেয়েটিকে পুরুষের কাছ থেকে দূরে নিয়ে যাচ্ছে কারণ সে মাতাল ছিল?,হ্যাঁ
107,লোকটি কি বৈধভাবে পান করছে?,না
107,লোকটি কি পানি খাচ্ছে?,না
108,তারা কি কথা বলছে?,হ্যাঁ
108,এটি কি মেঝেতে ভেনাস ফ্লাইট্র্যাপ?,না
109,কী ধরনের প্রাণী?,কুকুর
109,সব কুশন কি একই রঙের?,না
109,লাল সোফা কয়টি?,এক
110,এই ছবিতে কি একজন মহিলা আছে?,না
111,পর্দা কি খোলা আছে?,হ্যাঁ
111,একটা চেয়ারে কি ইঁদুর আছে?,হ্যাঁ
112,গাছের কাণ্ডে কয়টি শিকড় দেখা যাচ্ছে?,তিন
112,কোন গাছ আছে?,হ্যাঁ
113,মাশরুম কি প্রায়ই এত প্রতিসমভাবে বেড়ে ওঠে?,হ্যাঁ
113,পুকুরে কি আছে?,কুকুর
113,এই কার্টুনে কি কোন ছত্রাক আছে?,হ্যাঁ
114,ছোট ছেলেটির কি একটি ছোট বোন আছে?,হ্যাঁ
114,ছেলেটি কয়টি জুতা পরেছে?,দুই
115,মহিলা কি একা থাকেন?,হ্যাঁ
115,কোন প্রাণী আছে?,বিড়াল
116,স্যান্ডবক্সের রং কি?,লাল
116,ছেলেটির চুলের রং কি?,কমলা
117,বোতলে কি আছে?,মদ
118,লোকটি কি চেয়ারে বসে আছে?,হ্যাঁ
118,ভিডিও গেমটি সংযুক্ত করার জন্য কি কোনো টিভি আছে?,না
118,কে ঘুমাচ্ছে?,কুকুর
119,ছেলেটি কি খুশি হবে যদি ইঁদুরটি তার ব্লকগুলোকে ছিটকে দিত?,না
119,ইঁদুর কি ছেলেটিকে ভয় পায়?,না
119,আপনি কি তার মাকে দেখতে পাচ্ছেন?,না
121,দুটি মেয়ে কি করছে?,বাজানো
121,এগুলো কি সম্পর্কিত দেখাচ্ছে?,না
123,এই দুই ব্যক্তি কি সম্ভবত সম্পর্কিত?,হ্যাঁ
123,ছেলেটি কি ফুটবল খেলতে চায়?,হ্যাঁ
124,লগের রং কি?,বাদামী
124,লোকটি বালিশ হিসেবে কি ব্যবহার করছে?,লগ
124,সাদা বিড়ালটি কি মানুষের পাশে ঘুমাচ্ছে?,হ্যাঁ
125,কতটি গাছ?,দুই
127,কে দড়ি লাফ দিচ্ছে?,মেয়ে
127,বাচ্চারা কি তাদের সাথে খেলনা নিয়ে এসেছে?,হ্যাঁ
128,কুকুরটি কি পাটির উপর আছে?,হ্যাঁ
129,কত স্টাফড প্রাণী আছে?,তিন
129,কুকুর কি খেলনা পাহারা দিচ্ছে?,না
130,ঘাসে কয়টি লগ আছে?,দুই
130,খরগোশরা কি মানুষকে ভয় পায়?,না
130,ছেলেটি কোন রঙের শার্ট পরেছে?,সাদা
131,মহিলা কি ছোট হাতা পরেছে?,না
131,কয়টি পেইন্টিং?,চার
131,প্রাণীটি কোথায় বসে আছে?,পালঙ্ক
133,পাটিটি কি রঙের?,লাল
133,দেয়ালের ছবিতে কি কোন নীল আছে?,হ্যাঁ
134,টিভি কি মেঝেতে আছে?,হ্যাঁ
134,এই পরিবারটি কি এই বাড়িতে স্থানান্তরিত হয়েছে?,হ্যাঁ
134,এটা কি রান্নাঘর?,না
135,কতজন লোক আছে?,এক
135,কেউ কি সাইকেল চালাচ্ছে?,না
136,দুটি প্রাণীই কি ঘুমাচ্ছে?,হ্যাঁ
137,পার্কে কি দুই পাউন্ড আছে?,হ্যাঁ
137,আবহাওয়া কেমন?,রৌদ্রোজ্জ্বল
137,কতটি হাঁস আছে?,পাঁচ
138,লোকটি কি মোপেড ব্যবহার করবে?,হ্যাঁ
138,স্কুটারটির রং কি?,লাল
139,মহিলা কি একটি পাটির উপর দাঁড়িয়ে আছে?,হ্যাঁ
140,স্লাইডের রং কি?,লাল
140,ছেলেটা কি মজা করছে?,হ্যাঁ
141,মানুষের বাহুর কাছে লাল বস্তুটি কী?,বই
141,সোফায় কয়টি কুশন আছে?,দুই
142,মেয়েটির শার্টের রং কি?,ধূসর
142,টেবিলে কি টিভি আছে?,হ্যাঁ
142,মেয়েটি কি আর্মচেয়ারে বসতে যাচ্ছে?,হ্যাঁ
143,কে ঘুমাচ্ছে?,কুকুর
143,মহিলা কি করছেন?,দাঁড়িয়ে
143,সোফায় কয়টি বালিশ আছে?,দুই
144,মহিলা কি তার হৃদয় ধরে রেখেছে?,হ্যাঁ
145,লোকটি কি বসে আছে?,হ্যাঁ
146,পিকনিকের ঝুড়িতে কি ধরনের খাবার আছে?,পাই
146,কতজন মানুষ দাঁড়িয়ে আছে?,এক
146,লোকটি কি সূর্যের অবস্থানের উপর ভিত্তি করে গাছের গুঁড়ির ছায়ায় থাকবে?,না
147,পুকুরের এই সংখ্যা কি স্বাভাবিক?,না
147,পুকুরে কি 3টির বেশি মাছ আছে?,না
149,বাম দিকের লোকটি ছোট্ট মেয়েটির সাথে কি করছে?,বাজানো
149,দুই তরুণী একসাথে গালিচায় কি করছে?,বাজানো
149,কতটি জানালা আছে?,দুই
150,এটা কি রোদ আছে?,হ্যাঁ
151,তারা কি যুদ্ধ করছে?,না
152,প্রত্যেক ব্যক্তির কয়টি পা আছে?,দুই
153,ট্রেতে কয়টি প্লেট আছে?,তিন
153,ছোট মেয়েটি কি চা পরিবেশন করছে?,হ্যাঁ
153,গাছ কি পর্যাপ্ত সূর্যালোক পায়?,হ্যাঁ
154,মেঝেতে কি ঘুমাচ্ছে?,কুকুর
154,কে টিভি দেখছে?,মেয়ে
154,কতটি জানালা আছে?,দুই
155,মহিলা কি পান করছিলেন?,মদ
156,সাদা পোশাকের ছেলেটি কি মার্শম্যালো ভাজাচ্ছে?,হ্যাঁ
156,তুমি কি গাছে কিছু দেখতে পাচ্ছ?,হ্যাঁ
157,কী ধরনের খেলার মাঠের সরঞ্জাম দেখানো হয়?,বানর বার
157,গাছে কয়টি জিনিস আছে?,দুই
158,সুতার রং কি?,লাল
158,বিড়ালের রং কি?,হলুদ
158,জানালাগুলো কি খোলা আছে?,না
159,সে কি একা?,হ্যাঁ
159,লোকটি কি একা ঘরে বসে আছে?,হ্যাঁ
159,তার চুলের রং কি?,বাদামী
160,বাচ্চাটির কি পোষা প্রাণী আছে?,হ্যাঁ
160,কুকুরের রং কি?,ধূসর
161,টিভিটি কি অগ্নিকুণ্ডের উপর স্থাপন করা হয়েছে যাতে এটি দেখতে সহজ হয়?,হ্যাঁ
161,আগুন কি জ্বলছে?,হ্যাঁ
162,যুবক কি মন খারাপ?,না
162,যুবক কি শুধু ভিডিও গেম কন্ট্রোলার ছুড়ে ফেলেছিল?,না
162,টিভির পিছনে কোন প্রাণী আছে?,কুকুর
163,তারা কি ভালো সময় কাটাচ্ছে?,হ্যাঁ
163,তারা কি পান করছে?,মদ
164,তারা কি পান করছে?,হ্যাঁ
165,চেয়ারে কয়টি ডোরাকাটা বালিশ আছে?,0
